"factor","treatment_number","coef","sd","pval"
"Higher Incentives a",35,0.495,0.278,0.075
"Bonus for Returning after Missed Workouts b",5,0.481,0.275,0.08
"Rigidity Rewarded c",50,0.466,0.304,0.125
"Exercise Commitment Contract Explained",14,0.426,0.223,0.056
"Planning Workouts Rewarded",43,0.313,0.216,0.146
"Asked Questions about Workouts",2,0.294,0.185,0.113
"Free Audiobook Provided, Temptation Bundling Explained",31,0.289,0.306,0.346
"Following Workout Plan Encouraged",29,0.275,0.208,0.187
"Choice of Gain- or Loss-Framed Micro-Incentives",7,0.26,0.183,0.156
"Rigidity Rewarded e",52,0.23,0.173,0.184
"Loss-Framed Micro-Incentives",37,0.226,0.211,0.284
"Bonus for Returning after Missed Workouts a",4,0.21,0.248,0.397
"Rewarded for Responding to Questions about Workouts",47,0.195,0.172,0.257
"Exercise Encouraged with Signed Pledge",18,0.163,0.194,0.399
"Gym Routine Encouraged",34,0.154,0.185,0.404
"Exercise Social Norms Shared (High and Increasing)",21,0.137,0.221,0.534
"Exercise Social Norms Shared (Low)",24,0.126,0.212,0.554
"Fitness Questionnaire",25,0.123,0.182,0.5
"Reflecting on Workouts Encouraged",45,0.096,0.157,0.542
"Values Affirmation",53,0.094,0.229,0.68
"Values Affirmation Followed by Diagnosis as Gritty",54,0.094,0.179,0.599
"Effective Workouts Encouraged",10,0.092,0.164,0.576
"Defaulted into 3 Weekly Workouts",9,0.085,0.188,0.651
"Bonus for Consistent Exercise Schedule",3,0.084,0.182,0.646
"Rigidity Rewarded d",51,0.083,0.217,0.702
"Rigidity Rewarded a",48,0.082,0.199,0.68
"Planning Fallacy Described and Planning Revision Encouraged",40,0.077,0.184,0.678
"Fun Workouts Encouraged",32,0.068,0.178,0.701
"Exercise Fun Facts Shared",20,0.067,0.173,0.7
"Gain-Framed Micro-Incentives",33,0.064,0.273,0.814
"Mon-Fri Consistency Rewarded, Sat-Sun Consistency Rewarded",38,0.045,0.173,0.795
"Bonus for Variable Exercise Schedule",6,0.036,0.203,0.857
"Reflecting on Workouts Rewarded",46,0.016,0.17,0.923
"Planning, Reminders & Micro-Incentives to Exercise",44,0.015,0.2,0.939
"Placebo Control",1,0,0,0
"Exercise Advice Solicited",11,-0.019,0.175,0.916
"Planning Workouts Encouraged",42,-0.023,0.225,0.92
"Exercise Encouraged with Typed Pledge",19,-0.026,0.309,0.934
"Exercise Advice Solicited, Shared with Others",12,-0.029,0.218,0.896
"Fitness Questionnaire with Decision Support & Cognitive Reappraisal Prompt",28,-0.034,0.185,0.855
"Exercise Commitment Contract Encouraged",13,-0.042,0.202,0.834
"Exercise Social Norms Shared (Low but Increasing)",23,-0.059,0.174,0.733
"Rigidity Rewarded b",49,-0.096,0.165,0.56
"Fitness Questionnaire with Cognitive Reappraisal Prompt",26,-0.11,0.18,0.542
"Free Audiobook Provided",30,-0.11,0.185,0.552
"Planning Revision Encouraged",41,-0.126,0.203,0.535
"Exercise Encouraged",16,-0.149,0.171,0.383
"Higher Incentives b",36,-0.149,0.228,0.514
"Fitness Questionnaire with Decision Support",27,-0.178,0.204,0.383
"Exercise Encouraged with E-Signed Pledge",17,-0.231,0.192,0.229
"Planning Benefits Explained",39,-0.252,0.227,0.266
"Defaulted into 1 Weekly Workout",8,-0.256,0.182,0.16
"Exercise Commitment Contract Explained Post-Intervention",15,-0.326,0.186,0.079
"Exercise Social Norms Shared (High)",22,-0.35,0.234,0.135
